open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1588669200000,0.21981000,0.22035000,0.21824000,0.21858000,5155323.30000000,1588672799999,1131635.40439600,2683,2813125.00000000,617548.84042800,0
1588672800000,0.21843000,0.21843000,0.21316000,0.21524000,14402684.90000000,1588676399999,3098650.99234500,8361,6499693.50000000,1398088.10751400,0
1588676400000,0.21531000,0.21645000,0.21491000,0.21559000,3230497.50000000,1588679999999,697027.18498300,2402,1295661.50000000,279565.11679200,0
1588680000000,0.21560000,0.21606000,0.21462000,0.21579000,3611067.80000000,1588683599999,777951.42929400,2262,2136223.10000000,460156.05480800,0
1588683600000,0.21579000,0.21793000,0.21501000,0.21712000,5537988.70000000,1588687199999,1199661.00426500,3279,2378954.80000000,515088.02700500,0
1588687200000,0.21713000,0.21717000,0.21518000,0.21642000,4680785.40000000,1588690799999,1011175.86394800,2905,2350065.80000000,507540.92136300,0
1588690800000,0.21637000,0.21645000,0.21493000,0.21568000,3321147.10000000,1588694399999,716523.57935000,2382,1330759.00000000,287111.81268300,0
1588694400000,0.21564000,0.21700000,0.21493000,0.21615000,4053932.60000000,1588697999999,876570.51501400,2190,1699043.20000000,367271.46777600,0
1588698000000,0.21621000,0.21730000,0.21579000,0.21657000,3061993.80000000,1588701599999,662853.37256300,1927,1335330.90000000,288972.46893000,0
1588701600000,0.21656000,0.21666000,0.21546000,0.21593000,2665509.20000000,1588705199999,575464.94357100,1766,1475129.60000000,318444.65594700,0
1588705200000,0.21585000,0.21638000,0.21510000,0.21589000,2499584.10000000,1588708799999,539503.34736900,1717,1134399.30000000,244843.32172200,0
1588708800000,0.21589000,0.21694000,0.21569000,0.21641000,2881810.00000000,1588712399999,623550.99353700,2082,1483449.70000000,320966.11360700,0
1588712400000,0.21643000,0.21765000,0.21643000,0.21711000,2283642.00000000,1588715999999,496190.81033800,2002,1175538.70000000,255409.43438800,0
1588716000000,0.21712000,0.21738000,0.21607000,0.21663000,2581922.30000000,1588719599999,559099.08151500,2108,1276214.80000000,276340.38701400,0
1588719600000,0.21659000,0.21718000,0.21571000,0.21688000,2856419.00000000,1588723199999,618140.39693200,1982,1430133.60000000,309433.39051700,0
1588723200000,0.21688000,0.21716000,0.21477000,0.21533000,6425907.60000000,1588726799999,1388055.58292500,3664,2175027.70000000,469670.64674000,0
1588726800000,0.21534000,0.21720000,0.21498000,0.21698000,3907098.90000000,1588730399999,844339.23706000,2575,1573668.60000000,339931.64604700,0
1588730400000,0.21702000,0.21715000,0.21632000,0.21714000,3723724.10000000,1588733999999,806895.51339800,1728,1670298.40000000,361899.60031000,0
1588734000000,0.21704000,0.21907000,0.21691000,0.21757000,5890628.70000000,1588737599999,1283832.32573800,3916,3003189.60000000,654623.36901300,0
1588737600000,0.21763000,0.21896000,0.21759000,0.21829000,3806037.10000000,1588741199999,831569.99331700,2302,1818859.60000000,397408.28257500,0
1588741200000,0.21829000,0.21912000,0.21829000,0.21864000,3662887.90000000,1588744799999,801286.95432100,2460,2000131.60000000,437592.99300500,0
1588744800000,0.21870000,0.21911000,0.21857000,0.21899000,3452531.50000000,1588748399999,755731.00735700,2242,1368071.70000000,299460.49667100,0
1588748400000,0.21898000,0.21990000,0.21831000,0.21898000,4892456.10000000,1588751999999,1072466.62208600,2774,2392443.70000000,524362.73953500,0
1588752000000,0.21899000,0.22031000,0.21806000,0.21866000,6150810.60000000,1588755599999,1347075.49602300,3927,2801616.70000000,613740.59186200,0
1588755600000,0.21865000,0.21918000,0.21850000,0.21888000,2831167.90000000,1588759199999,619627.10463300,1902,1235162.20000000,270328.00172700,0
1588759200000,0.21889000,0.22214000,0.21864000,0.22041000,14189795.50000000,1588762799999,3129851.84329200,8387,7749755.80000000,1709147.38497700,0
1588762800000,0.22034000,0.22211000,0.21984000,0.22160000,6610822.60000000,1588766399999,1460883.47308000,3864,3535016.30000000,781512.13135600,0
1588766400000,0.22163000,0.22240000,0.21978000,0.21992000,9189036.10000000,1588769999999,2029147.74569400,4964,4654896.80000000,1027590.87901700,0
1588770000000,0.22000000,0.22068000,0.21844000,0.21968000,6279423.60000000,1588773599999,1378497.02691700,4324,3040779.60000000,667525.54505700,0
