open-time,open,high,low,close,volume,trades
1602518400,1.0005,1.0009,1.0005,1.0006,520493.7752908901,454
1602522000,1.0005,1.0006,1.0004,1.0004,434604.5162167099,319
1602525600,1.0004,1.0006,1.0004,1.0004,78658.22672742,175
1602529200,1.0005,1.0006,1.0003,1.0004,235491.04361153,291
1602532800,1.0004,1.0007,1.0004,1.0007,179574.4955427602,244
1602536400,1.0007,1.0007,1.0005,1.0005,328777.0653753799,641
1602540000,1.0005,1.0009,1.0005,1.0005,250574.9669641998,451
1602543600,1.0005,1.0009,1.0005,1.0006,408627.7052857496,704
1602547200,1.0006,1.0008,1.0004,1.0004,201713.8122821,234
1602550800,1.0004,1.0005,1.0003,1.0003,114881.4782734402,152
1602554400,1.0004,1.0004,1.0003,1.0004,280195.4050353001,122
1602558000,1.0003,1.0004,1.0003,1.0004,73624.71471705,133
1602561600,1.0003,1.0004,1.0003,1.0003,144631.9525241401,132
1602565200,1.0004,1.0005,1.0003,1.0005,123471.85940965,209
1602568800,1.0005,1.0006,1.0003,1.0005,392602.1600638101,240
1602572400,1.0005,1.0007,1.0004,1.0005,1365421.02876692,511
1602576000,1.0005,1.0006,1.0004,1.0004,739887.0418577914,727
1602579600,1.0005,1.0009,1.0004,1.0006,1377196.9963670904,634
1602583200,1.0006,1.0008,1.0004,1.0007,717921.258589271,564
1602586800,1.0007,1.0015,1.0004,1.0009,1546396.6021594196,690
1602590400,1.0009,1.001,1.0005,1.0008,987483.7220058204,588
1602594000,1.0007,1.001,1.0003,1.0003,1124206.3146179502,1073
1602597600,1.0004,1.0006,1.0003,1.0004,1092494.942816529,730
1602601200,1.0003,1.0005,1.0003,1.0003,890890.4391190301,650
1602604800,1.0004,1.0005,1.0001,1.0004,805144.1587787195,454
1602608400,1.0004,1.0004,1.0,1.0003,539075.0974370899,377
1602612000,1.0003,1.0005,1.0003,1.0004,286643.08532798,424
1602615600,1.0005,1.0006,1.0002,1.0004,479782.4385343602,363
1602619200,1.0005,1.0005,1.0003,1.0005,634384.2517742196,233
1602622800,1.0005,1.0008,1.0004,1.0006,580187.2985405507,322
1602626400,1.0006,1.0009,1.0006,1.0009,102014.10399173,164
1602630000,1.0008,1.0009,1.0007,1.0007,249165.3839255602,171
1602633600,1.0007,1.0009,1.0006,1.0009,211409.9045946102,336
1602637200,1.0009,1.001,1.0007,1.0008,365435.23595747,286
1602640800,1.0008,1.0009,1.0005,1.0008,432822.1226096699,261
1602644400,1.0008,1.0009,1.0004,1.0008,356833.92939866,297
1602648000,1.0008,1.0008,1.0003,1.0005,1310798.65478751,362
1602651600,1.0004,1.0006,1.0003,1.0005,553535.4449335301,175
1602655200,1.0005,1.0009,1.0004,1.0006,850590.0134816098,288
1602658800,1.0006,1.0008,1.0004,1.0006,700004.0575366503,651
1602662400,1.0005,1.0009,1.0004,1.0007,1055490.19644459,606
1602666000,1.0008,1.001,1.0005,1.0008,1164419.7768863896,508
1602669600,1.0007,1.0008,1.0005,1.0007,584111.24849995,513
1602673200,1.0007,1.0009,1.0005,1.0008,776820.8434425206,549
1602676800,1.0008,1.001,1.0006,1.0009,731490.7580783397,535
1602680400,1.0009,1.0011,1.0007,1.0007,591952.7743575296,473
1602684000,1.0008,1.0011,1.0005,1.0008,1527483.4862105777,1142
1602687600,1.0008,1.0009,1.0005,1.0006,739354.0440701018,1011
1602691200,1.0006,1.001,1.0004,1.0007,942613.79823598,814
1602694800,1.0007,1.0008,1.0005,1.0006,386799.5058298498,485
1602698400,1.0006,1.0007,1.0004,1.0006,268568.6771967402,353
1602702000,1.0006,1.0009,1.0005,1.0008,284407.2634511001,190
1602705600,1.0007,1.0008,1.0006,1.0007,281564.2631747799,206
1602709200,1.0007,1.0008,1.0007,1.0007,215417.5932622701,162
1602712800,1.0007,1.0008,1.0007,1.0007,379667.76188306,156
1602716400,1.0007,1.0008,1.0006,1.0008,210522.9654730999,158
1602720000,1.0008,1.0008,1.0006,1.0006,666527.4764434297,238
1602723600,1.0006,1.0007,1.0005,1.0006,82265.18462076,182
1602727200,1.0007,1.0007,1.0005,1.0007,72399.66116744,158
1602730800,1.0007,1.0007,1.0005,1.0006,208625.5781274,186
1602734400,1.0006,1.0007,1.0005,1.0007,155054.7313338899,151
1602738000,1.0007,1.0007,1.0003,1.0006,643029.448524529,240
1602741600,1.0007,1.0008,1.0004,1.0006,1239681.2046427496,295
1602745200,1.0006,1.0007,1.0003,1.0006,1950307.447452981,665
1602748800,1.0005,1.0007,1.0002,1.0003,837368.7344506094,795
1602752400,1.0004,1.0004,1.0001,1.0003,1149348.4597047523,528
1602756000,1.0003,1.0005,1.0001,1.0005,682066.4469439305,337
1602759600,1.0004,1.0005,1.0002,1.0003,1122141.35860156,476
1602763200,1.0003,1.0006,1.0001,1.0005,866086.5208486593,765
1602766800,1.0004,1.0008,1.0003,1.0006,1016207.6282518408,684
1602770400,1.0006,1.0008,1.0004,1.0005,584573.21777338,623
1602774000,1.0005,1.0007,1.0004,1.0005,695081.2387088003,397
1602777600,1.0005,1.0008,1.0003,1.0005,815573.5323032198,532
1602781200,1.0005,1.0008,1.0004,1.0007,274774.0710785602,432
1602784800,1.0006,1.0007,1.0,1.0004,1177282.61486835,622
1602788400,1.0005,1.0006,1.0001,1.0005,388913.1793315898,382
1602792000,1.0005,1.0009,1.0004,1.0006,410635.56505284,502
1602795600,1.0006,1.0009,1.0004,1.0007,288366.6870012296,506
1602799200,1.0007,1.0009,1.0003,1.0006,206170.1005877899,216
1602802800,1.0006,1.0008,1.0005,1.0008,105483.38344762,151
